iter	Logloss
0	0.6798251844
1	0.6670635132
2	0.6558174084
3	0.6454794731
4	0.6318882457
5	0.6209630129
6	0.6099369674
7	0.601470117
8	0.5917354263
9	0.5842751353
10	0.5779608233
11	0.5688030535
12	0.5614947203
13	0.5550146899
14	0.5504338247
15	0.5458298184
16	0.5411317209
17	0.5356158513
18	0.5314134797
19	0.5274470994
20	0.5249525967
21	0.5212200592
22	0.5186571408
23	0.515869601
24	0.512625188
25	0.5098345315
26	0.5063938073
27	0.5040032652
28	0.5033326441
29	0.5009195577
30	0.4981214918
31	0.4958163697
32	0.4939369709
33	0.4923268636
34	0.4902911266
35	0.4881680225
36	0.4866000959
37	0.4858598159
38	0.4839829013
39	0.4824160526
40	0.4808385391
41	0.47944376
42	0.4781109596
43	0.4771626984
44	0.4769345167
45	0.4759455094
46	0.4756244077
47	0.4747105409
48	0.4743210932
49	0.4732556162
50	0.4723295223
51	0.4715907063
52	0.4709303731
53	0.469914977
54	0.4688848276
55	0.4679141465
56	0.4675255625
57	0.4672880413
58	0.4664404057
59	0.4655477974
60	0.4646931175
61	0.4642275574
62	0.4640175959
63	0.4636898109
64	0.4632647964
65	0.4624489152
66	0.4618273644
67	0.4612690303
68	0.4609230594
69	0.4600500692
70	0.4596493674
71	0.4592029699
72	0.4587319005
73	0.458300817
74	0.4578089795
75	0.4576842165
76	0.4575751704
77	0.4572745834
78	0.4567695433
79	0.4562653828
80	0.4558712355
81	0.4557266626
82	0.4555373715
83	0.4551706464
84	0.4548940235
85	0.4545886383
86	0.4542759382
87	0.4537792817
88	0.4532704921
89	0.453014084
90	0.4525952285
91	0.4519943554
92	0.4519784387
93	0.4515146253
94	0.4511206455
95	0.450984922
96	0.4506527869
97	0.4505139135
98	0.450469814
99	0.449889306
100	0.4498622183
101	0.4494180961
102	0.4490347699
103	0.4486597523
104	0.4483161146
105	0.4481036959
106	0.4479801335
107	0.4478948177
108	0.4477429534
109	0.4474436797
110	0.4472845055
111	0.4470164386
112	0.4467096115
113	0.4463266561
114	0.4460541705
115	0.4459317917
116	0.4456603741
117	0.4451566852
118	0.4450262414
119	0.4448150763
120	0.4442310663
121	0.4439049625
122	0.4436786881
123	0.4435639119
124	0.443393511
125	0.4432303284
126	0.4430137533
127	0.4428772171
128	0.4428574078
129	0.4426459675
130	0.4424872498
131	0.4422386381
132	0.4421006498
133	0.4419758862
134	0.4418416552
135	0.4415411752
136	0.441439411
137	0.4413565103
138	0.4411645979
139	0.4408967031
140	0.4407024007
141	0.4406929946
142	0.4406611064
143	0.4405858852
144	0.4405578727
145	0.4403341255
146	0.4402869438
147	0.4398662956
148	0.4398298936
149	0.4397437081
150	0.4397127457
151	0.4396505005
152	0.439312503
153	0.439305514
154	0.4390054824
155	0.4387024357
156	0.4386284548
157	0.4384043167
158	0.4382843365
159	0.4381160048
160	0.4381118199
161	0.4380773518
162	0.4378040533
163	0.437782417
164	0.4377409456
165	0.4376155023
166	0.4372556372
167	0.4372055461
168	0.437131734
169	0.4370298534
170	0.4369292549
171	0.4366078504
172	0.4365874093
173	0.4364194095
174	0.4364009444
175	0.4362974895
176	0.4362463638
177	0.4361937645
178	0.4361897486
179	0.4361425428
180	0.4359223367
181	0.435662671
182	0.4356364791
183	0.435554755
184	0.4355300366
185	0.4355166039
186	0.4352782693
187	0.435152642
188	0.4349885444
189	0.434897428
190	0.434764347
191	0.4347583474
192	0.4345648393
193	0.4344815402
194	0.4343183349
195	0.4342102726
196	0.4341749884
197	0.4339816674
198	0.4339787516
199	0.4339129258
200	0.4337886392
201	0.4336396447
202	0.4336225792
203	0.4336226092
204	0.433506045
205	0.4334707048
206	0.4333683804
207	0.4332833463
208	0.4331814616
209	0.4330947722
210	0.4330756133
211	0.4329777323
212	0.4329423112
213	0.4329198724
214	0.4328384878
215	0.4327155591
216	0.4326338974
217	0.4325891401
218	0.432586252
219	0.4325843933
220	0.4325614151
221	0.4324799257
222	0.4323434134
223	0.4321649861
224	0.4321360877
225	0.4321278274
226	0.4319792771
227	0.431842141
228	0.4317765402
229	0.4317012317
230	0.4317003894
231	0.4315792958
232	0.4313585866
233	0.4312675956
234	0.4311925355
235	0.4311568831
236	0.4310174296
237	0.4310114711
238	0.4309303219
239	0.430898851
240	0.4307373759
241	0.4306068457
242	0.4305364981
243	0.430396346
244	0.4303480202
245	0.4302675185
246	0.4302113381
247	0.430091783
248	0.4299200197
249	0.4298439094
250	0.4297759289
251	0.4296697185
252	0.4295685188
253	0.4294368348
254	0.4294088035
255	0.4293428196
256	0.4292420913
257	0.4292424178
258	0.4291054336
259	0.42908634
260	0.4290090419
261	0.4289664777
262	0.4288809753
263	0.4288361752
264	0.4288364493
265	0.4288243564
266	0.4287548162
267	0.4286396635
268	0.4286371381
269	0.4285850301
270	0.428444218
271	0.4283359571
272	0.4282134811
273	0.4281739102
274	0.4280403566
275	0.4278822361
276	0.4278261982
277	0.427701268
278	0.4275547133
279	0.4275108013
280	0.427436867
281	0.4273830843
282	0.4273824626
283	0.4273267441
284	0.4272542065
285	0.4272112634
286	0.4271665445
287	0.427149725
288	0.4271464779
289	0.427096731
290	0.4270718861
291	0.4270654672
292	0.4270022677
293	0.4269656489
294	0.4268589954
295	0.4268219452
296	0.4267775947
297	0.4267212571
298	0.4265861413
299	0.4265101535
300	0.4264111019
301	0.4262998688
302	0.4262309653
303	0.4262278384
304	0.4261487078
305	0.4260361421
306	0.4259875489
307	0.4259841715
308	0.4258957066
309	0.4257917195
310	0.4257360071
311	0.4256990174
312	0.4256021627
313	0.4255043158
314	0.4254247255
315	0.4253998663
316	0.4253718644
317	0.4253045179
318	0.4252097343
319	0.4251195889
320	0.4250457857
321	0.4249958963
322	0.4248989161
323	0.424848176
324	0.424813102
325	0.4247832493
326	0.4247165033
327	0.4246835335
328	0.4245913932
329	0.4245647256
330	0.4245345869
331	0.4244349075
332	0.4243765648
333	0.4243449391
334	0.4242741099
335	0.4242372681
336	0.424149315
337	0.424090631
338	0.4240465429
339	0.423993385
340	0.4239013175
341	0.4238732975
342	0.4237938789
343	0.4237565462
344	0.4237270489
345	0.4236569335
346	0.4235907526
347	0.423516719
348	0.423435179
349	0.42337762
350	0.4233169217
351	0.4232640585
352	0.4232368179
